R,G,B,Label
255,42,0,0
0,59,0,0
255,65,0,0
255,77,0,0
0,2,0,0
255,91,81,0
0,2,0,0
255,98,0,0
72,84,81,0
255,2,0,0
0,80,0,0
0,66,0,0
255,99,0,0
255,51,0,0
255,65,0,0
174,79,0,0
255,75,0,0
139,65,0,0
255,83,0,0
0,86,0,0
64,77,0,0
255,2,0,0
191,97,0,0
255,84,81,0
255,51,0,0
67,77,0,0
255,77,0,0
255,83,81,0
67,86,0,0
255,56,0,0
255,59,0,0
255,79,0,0
255,2,0,0
0,91,0,0
255,51,0,0
73,86,0,0
255,52,0,0
255,90,0,0
78,83,81,0
255,84,0,0
199,88,0,0
255,61,0,0
255,56,0,0
0,107,0,0
255,84,0,0
255,89,0,0
255,60,0,0
255,56,0,0
0,59,0,0
255,21,0,0
255,86,81,0
255,92,90,0
255,54,0,0
255,77,0,0
255,77,0,0
255,61,0,0
255,42,0,0
255,77,0,0
0,2,0,0
59,79,0,0
72,84,0,0
255,69,0,0
0,79,0,0
255,70,0,0
255,68,0,0
255,75,0,0
255,68,0,0
0,69,0,0
0,83,0,0
255,82,0,0
255,77,0,0
78,83,81,0
0,78,0,0
255,255,0,0
0,78,0,0
255,68,0,0
255,75,0,0
0,61,0,0
86,90,90,0
255,79,0,0
77,85,81,0
144,67,0,0
255,86,0,0
255,86,0,0
178,81,0,0
0,2,0,0
0,54,0,0
73,86,81,0
255,2,0,0
255,2,0,0
81,90,81,0
255,84,0,0
72,84,81,0
255,58,0,0
0,110,0,0
0,57,0,0
255,93,0,0
144,76,0,0
255,75,0,0
255,68,0,0
64,77,0,0
255,59,0,0
0,112,0,0
78,83,0,0
255,51,0,0
73,84,81,0
90,99,98,1
90,99,90,1
90,99,98,1
95,99,98,1
90,90,90,1
90,90,90,1
90,99,90,1
90,99,90,1
90,99,98,1
95,99,98,1
90,90,90,1
90,99,98,1
90,99,90,1
90,99,90,1
95,99,98,1
90,99,98,1
90,99,90,1
90,99,98,1
86,90,90,1
86,90,90,1
90,94,90,1
90,99,90,1
90,90,90,1
90,99,90,1
90,99,90,1
90,90,90,1
90,99,98,1
90,90,90,1
95,99,98,1
90,99,90,1
90,99,90,1
86,90,90,1
90,99,98,1
90,99,90,1
86,90,90,1
90,90,90,1
86,90,90,1
95,99,98,1
95,99,98,1
86,90,90,1
81,90,81,1
90,99,90,1
90,99,98,1
95,99,98,1
90,99,90,1
90,99,90,1
90,99,98,1
86,90,90,1
90,99,90,1
90,99,90,1
90,99,98,1
90,99,90,1
90,99,98,1
90,90,90,1
86,90,90,1
90,99,90,1
90,99,98,1
86,90,90,1
95,99,98,1
90,99,98,1
90,99,98,1
95,99,98,1
95,99,98,1
90,99,90,1
95,99,98,1
86,90,90,1
86,90,90,1
90,90,90,1
90,99,98,1
90,99,90,1
90,99,98,1
95,99,98,1
90,90,90,1
86,90,90,1
90,99,90,1
90,99,98,1
86,90,90,1
90,99,90,1
90,99,90,1
95,99,98,1
95,99,98,1
90,99,98,1
90,99,90,1
95,99,98,1
90,99,90,1
90,99,98,1
90,99,98,1
95,99,98,1
90,90,90,1
90,99,90,1
95,99,98,1
95,99,98,1
90,99,98,1
95,99,98,1
86,90,90,1
95,99,98,1
95,99,98,1
90,99,90,1
86,90,90,1
90,99,90,1
86,90,90,1
95,99,98,1
90,99,90,1
86,90,90,1
86,90,90,1
86,90,90,1
81,83,81,2
255,75,0,2
0,65,0,2
255,83,0,2
255,61,0,2
86,90,90,2
0,2,0,2
0,2,0,2
0,2,0,2
60,66,77,2
255,255,0,2
255,66,0,2
0,2,0,2
0,64,0,2
0,99,0,2
60,64,81,2
62,66,73,2
0,65,0,2
67,75,0,2
86,90,90,2
0,58,0,2
0,2,0,2
78,82,81,2
0,2,0,2
255,66,0,2
0,74,0,2
0,255,0,2
0,75,0,2
255,66,0,2
70,75,0,2
81,83,81,2
0,5,0,2
69,75,0,2
255,255,0,2
60,66,81,2
0,64,0,2
62,64,0,2
0,75,0,2
255,255,0,2
0,99,0,2
62,66,0,2
0,73,0,2
59,76,0,2
0,49,0,2
57,76,0,2
60,64,0,2
0,83,0,2
0,67,0,2
81,83,81,2
62,66,0,2
67,75,85,2
255,255,0,2
255,255,0,2
0,74,0,2
70,75,83,2
78,83,81,2
0,2,0,2
0,2,0,2
0,66,0,2
255,84,0,2
0,255,0,2
0,66,0,2
0,2,0,2
0,64,0,2
0,64,0,2
95,99,98,2
0,59,0,2
255,255,0,2
0,145,0,2
67,75,0,2
0,83,0,2
255,106,0,2
0,49,0,2
0,150,0,2
81,90,90,2
65,66,0,2
255,66,0,2
0,9,0,2
255,66,0,2
65,66,69,2
0,99,0,2
0,64,0,2
70,73,77,2
255,255,0,2
78,82,90,2
0,66,0,2
255,66,0,2
0,67,0,2
62,66,77,2
0,7,0,2
0,99,0,2
0,56,0,2
70,73,44,2
0,84,0,2
0,255,0,2
255,255,0,2
0,2,0,2
0,255,0,2
86,90,0,2
0,9,0,2
65,66,0,2
62,66,0,2
255,255,0,2
62,64,0,2
255,91,0,2
59,76,91,2
